,0
0,0x7f
1,0x7f
2,0x7f
3,0x7f
4,0x7f
5,0x7f
6,0x7f
7,0x7f
8,0x7f
9,0x7f
10,0x7f
11,0x7e
12,0x7e
13,0x7e
14,0x7e
15,0x7e
16,0x7e
17,0x7e
18,0x7d
19,0x7d
20,0x7d
21,0x7d
22,0x7c
23,0x7c
24,0x7c
25,0x7c
26,0x7c
27,0x7c
28,0x7c
29,0x7c
30,0x7c
31,0x7c
32,0x7c
33,0x7c
34,0x7c
35,0x7f
36,0x80
37,0x80
38,0x7e
39,0x7d
40,0x7e
41,0x7b
42,0x7f
43,0x89
44,0x86
45,0x91
46,0x92
47,0x8e
48,0x89
49,0x79
50,0x76
51,0x6d
52,0x72
53,0x75
54,0x78
55,0x86
56,0x82
57,0x84
58,0x77
59,0x6b
60,0x6b
61,0x6d
62,0x6a
63,0x74
64,0x73
65,0x73
66,0x79
67,0x73
68,0x7b
69,0x7f
70,0x86
71,0x90
72,0x98
73,0x9d
74,0x9d
75,0x9e
76,0x9e
77,0x9f
78,0x9f
79,0x9f
80,0x9f
81,0x9e
82,0x9d
83,0x9d
84,0x9c
85,0x99
86,0x93
87,0x86
88,0x80
89,0x76
90,0x6c
91,0x64
92,0x62
93,0x62
94,0x61
95,0x5f
96,0x5f
97,0x5e
98,0x5e
99,0x60
100,0x5e
101,0x64
102,0x64
103,0x67
104,0x62
105,0x65
106,0x65
107,0x66
108,0x66
109,0x66
110,0x66
111,0x67
112,0x68
113,0x6f
114,0x72
115,0x70
116,0x71
117,0x70
118,0x71
119,0x6f
120,0x70
121,0x73
122,0x76
123,0x76
124,0x75
125,0x7b
126,0x7d
127,0x7f
128,0x85
129,0x88
130,0x86
131,0x89
132,0x8a
133,0x8a
134,0x84
135,0x88
136,0x85
137,0x84
138,0x89
139,0x8c
140,0x93
141,0x8f
142,0x92
143,0x90
144,0x93
145,0x8d
146,0x91
147,0x8a
148,0x88
149,0x8e
150,0x89
151,0x8c
152,0x8c
153,0x89
154,0x86
155,0x87
156,0x84
157,0x83
158,0x83
159,0x89
160,0x8e
161,0x8b
162,0x96
163,0x93
164,0x86
165,0x87
166,0x81
167,0x7e
168,0x81
169,0x86
170,0x7c
171,0x83
172,0x7d
173,0x76
174,0x85
175,0x81
176,0x7f
177,0x80
178,0x81
179,0x76
180,0x7c
181,0x79
182,0x74
183,0x76
184,0x82
185,0x7e
186,0x80
187,0x89
188,0x88
189,0x89
190,0x86
191,0x86
192,0x89
193,0x8c
194,0x86
195,0x8c
196,0x8a
197,0x85
198,0x85
199,0x82
200,0x87
201,0x89
202,0x83
203,0x80
204,0x7e
205,0x7f
206,0x7f
207,0x87
208,0x87
209,0x89
210,0x88
211,0x81
212,0x83
213,0x82
214,0x82
215,0x81
216,0x83
217,0x83
218,0x82
219,0x79
220,0x72
221,0x71
222,0x73
223,0x70
224,0x72
225,0x6e
226,0x6d
227,0x72
228,0x74
229,0x67
230,0x6e
231,0x6d
232,0x6c
233,0x70
234,0x6e
235,0x73
236,0x73
237,0x70
238,0x6c
239,0x6e
240,0x75
241,0x76
242,0x7c
243,0x7e
244,0x79
245,0x7c
246,0x83
247,0x7c
248,0x80
249,0x7d
250,0x7d
251,0x7a
252,0x7c
253,0x7c
254,0x80
255,0x80
256,0x82
257,0x80
258,0x80
259,0x80
260,0x7c
261,0x7e
262,0x79
263,0x7d
264,0x7d
265,0x79
266,0x79
267,0x77
268,0x76
269,0x78
270,0x7c
271,0x7e
272,0x7e
273,0x7e
274,0x7f
275,0x7d
276,0x7c
277,0x7c
278,0x7a
279,0x80
280,0x81
281,0x83
282,0x83
283,0x81
284,0x80
285,0x82
286,0x82
287,0x80
288,0x80
289,0x81
290,0x80
291,0x80
292,0x80
293,0x80
294,0x80
295,0x83
296,0x85
297,0x86
298,0x86
299,0x85
300,0x84
301,0x86
302,0x89
303,0x86
304,0x83
305,0x83
306,0x82
307,0x82
308,0x81
309,0x80
310,0x80
311,0x7d
312,0x7c
313,0x79
314,0x7a
315,0x7c
316,0x7c
317,0x7b
318,0x7c
319,0x7d
320,0x7f
321,0x80
322,0x80
323,0x7c
324,0x7e
325,0x80
326,0x80
327,0x83
328,0x83
329,0x83
330,0x85
331,0x88
332,0x89
333,0x89
334,0x88
335,0x87
336,0x87
337,0x88
338,0x87
339,0x87
340,0x88
341,0x87
342,0x86
343,0x86
344,0x86
345,0x85
