,0
0,0x81
1,0x81
2,0x81
3,0x81
4,0x80
5,0x80
6,0x80
7,0x7f
8,0x7f
9,0x7f
10,0x7f
11,0x7f
12,0x7f
13,0x7f
14,0x7f
15,0x7f
16,0x80
17,0x80
18,0x80
19,0x81
20,0x81
21,0x81
22,0x82
23,0x82
24,0x82
25,0x81
26,0x81
27,0x83
28,0x85
29,0x86
30,0x86
31,0x88
32,0x8d
33,0x92
34,0x93
35,0x91
36,0x8f
37,0x90
38,0x92
39,0x92
40,0x8e
41,0x88
42,0x83
43,0x81
44,0x83
45,0x84
46,0x81
47,0x7d
48,0x7b
49,0x7c
50,0x7d
51,0x7c
52,0x7b
53,0x7b
54,0x7e
55,0x81
56,0x82
57,0x81
58,0x81
59,0x81
60,0x80
61,0x7d
62,0x78
63,0x75
64,0x73
65,0x70
66,0x6e
67,0x6d
68,0x6e
69,0x70
70,0x70
71,0x72
72,0x74
73,0x76
74,0x77
75,0x78
76,0x78
77,0x78
78,0x78
79,0x78
80,0x78
81,0x76
82,0x72
83,0x6d
84,0x69
85,0x66
86,0x64
87,0x63
88,0x65
89,0x67
90,0x69
91,0x69
92,0x6b
93,0x6e
94,0x70
95,0x6f
96,0x6e
97,0x6e
98,0x71
99,0x75
100,0x79
101,0x7c
102,0x7c
103,0x7d
104,0x7f
105,0x80
106,0x81
107,0x7f
108,0x7e
109,0x7e
110,0x7d
111,0x7b
112,0x78
113,0x76
114,0x74
115,0x73
116,0x72
117,0x73
118,0x74
119,0x75
120,0x77
121,0x7a
122,0x7b
123,0x7c
124,0x7c
125,0x7d
126,0x7f
127,0x7f
128,0x7f
129,0x7e
130,0x7d
131,0x7c
132,0x7c
133,0x7c
134,0x7c
135,0x7b
136,0x7c
137,0x7e
138,0x81
139,0x84
140,0x84
141,0x82
142,0x80
143,0x7f
144,0x80
145,0x80
146,0x7f
147,0x7f
148,0x7f
149,0x7f
150,0x7f
151,0x81
152,0x86
153,0x8c
154,0x90
155,0x93
156,0x96
157,0x99
158,0x9b
159,0x9a
160,0x98
161,0x97
162,0x96
163,0x95
164,0x95
165,0x95
166,0x95
167,0x93
168,0x92
169,0x92
170,0x92
171,0x91
172,0x90
173,0x8f
174,0x8f
175,0x8e
176,0x8d
177,0x8d
178,0x8e
179,0x8e
180,0x8d
181,0x8b
182,0x8b
183,0x8b
184,0x8d
185,0x8e
186,0x8d
187,0x8b
188,0x8a
189,0x8b
190,0x8d
191,0x8d
192,0x8c
193,0x8b
194,0x8b
195,0x8b
196,0x8b
197,0x8b
198,0x89
199,0x88
200,0x87
201,0x87
202,0x88
203,0x8a
204,0x8c
205,0x8d
206,0x8c
207,0x88
208,0x85
209,0x84
210,0x85
211,0x85
212,0x84
213,0x85
214,0x87
215,0x8a
216,0x8d
217,0x8e
218,0x90
219,0x92
220,0x93
221,0x95
222,0x96
223,0x96
224,0x96
225,0x96
226,0x97
227,0x97
228,0x95
229,0x94
230,0x96
231,0x98
232,0x99
233,0x99
234,0x99
235,0x99
236,0x98
237,0x97
238,0x96
239,0x94
240,0x91
241,0x8f
242,0x8f
243,0x91
244,0x94
245,0x96
246,0x96
247,0x97
248,0x99
249,0x9c
250,0x9f
251,0x9e
252,0x9c
253,0x9a
254,0x99
255,0x99
256,0x98
257,0x97
258,0x94
259,0x92
260,0x90
261,0x8f
262,0x90
263,0x8f
264,0x8d
265,0x8d
266,0x8e
267,0x8d
268,0x8b
269,0x88
270,0x87
271,0x87
272,0x86
273,0x84
274,0x82
275,0x81
276,0x82
277,0x83
278,0x83
279,0x81
280,0x80
281,0x7e
282,0x7d
283,0x7c
284,0x7c
285,0x7c
286,0x7a
287,0x79
288,0x78
289,0x78
290,0x77
291,0x75
292,0x74
293,0x75
294,0x75
295,0x75
296,0x74
297,0x73
298,0x71
299,0x6f
300,0x6f
301,0x6f
302,0x6d
303,0x69
304,0x66
305,0x65
306,0x66
307,0x67
308,0x67
309,0x66
310,0x66
311,0x67
312,0x68
313,0x68
314,0x67
315,0x66
316,0x64
317,0x63
318,0x64
319,0x65
320,0x68
321,0x6b
322,0x6d
323,0x6d
324,0x6c
325,0x69
326,0x68
327,0x6a
328,0x6b
329,0x6b
330,0x6a
331,0x69
332,0x69
333,0x69
334,0x68
335,0x68
336,0x69
337,0x6a
338,0x6b
339,0x6d
340,0x6e
341,0x6f
342,0x6f
343,0x71
344,0x73
345,0x75
346,0x75
347,0x74
348,0x74
349,0x76
350,0x78
351,0x78
352,0x78
353,0x77
354,0x78
355,0x79
356,0x7a
357,0x7b
358,0x7b
359,0x7b
360,0x7c
361,0x7f
362,0x81
363,0x81
364,0x80
365,0x81
366,0x83
367,0x85
368,0x85
369,0x87
370,0x89
371,0x8a
372,0x8a
373,0x8a
374,0x8a
375,0x8b
376,0x8c
377,0x8c
378,0x8c
379,0x8c
380,0x8c
381,0x8c
382,0x8e
383,0x8e
384,0x8e
385,0x8f
386,0x90
387,0x91
388,0x90
389,0x8f
390,0x8e
391,0x8e
392,0x8e
393,0x8e
394,0x8c
395,0x8b
396,0x8b
397,0x8b
398,0x8b
399,0x89
400,0x88
401,0x87
402,0x88
403,0x8a
404,0x8c
405,0x8d
406,0x8b
407,0x8a
408,0x89
409,0x87
410,0x85
411,0x81
412,0x80
413,0x7f
414,0x7f
415,0x7f
416,0x7e
417,0x7e
418,0x7f
419,0x7f
420,0x7f
421,0x7e
422,0x7d
423,0x7c
424,0x7c
425,0x7e
426,0x80
427,0x83
428,0x83
429,0x81
430,0x7e
431,0x7c
432,0x7b
433,0x78
434,0x75
435,0x73
436,0x72
437,0x70
438,0x70
439,0x71
440,0x72
441,0x74
442,0x74
443,0x73
444,0x74
445,0x74
446,0x74
447,0x73
448,0x72
449,0x71
450,0x70
451,0x70
452,0x70
453,0x70
454,0x6f
455,0x6e
456,0x6f
457,0x72
458,0x74
459,0x74
460,0x73
461,0x74
462,0x76
463,0x77
464,0x76
465,0x75
466,0x77
467,0x7a
468,0x7a
469,0x78
470,0x75
471,0x75
472,0x76
473,0x77
474,0x78
475,0x79
476,0x7a
477,0x7b
478,0x7c
479,0x7e
480,0x80
481,0x83
482,0x86
483,0x88
484,0x88
485,0x88
486,0x88
487,0x8a
488,0x8c
489,0x8e
490,0x8f
491,0x91
492,0x94
493,0x96
494,0x97
495,0x96
496,0x95
497,0x96
498,0x99
499,0x9c
500,0x9d
501,0x9c
502,0x9b
503,0x9d
504,0xa1
505,0xa2
506,0xa1
507,0x9f
508,0x9d
509,0x9c
510,0x9a
511,0x9a
512,0x98
513,0x95
514,0x93
515,0x93
516,0x95
517,0x95
518,0x94
519,0x92
520,0x91
521,0x91
522,0x91
523,0x92
524,0x93
525,0x92
526,0x8f
527,0x8e
528,0x8f
529,0x91
530,0x91
531,0x91
532,0x90
533,0x90
534,0x8f
535,0x8f
536,0x8f
537,0x8e
538,0x8d
539,0x8c
540,0x8c
541,0x8c
542,0x8b
543,0x8a
544,0x89
545,0x87
546,0x85
547,0x84
548,0x83
549,0x82
550,0x80
551,0x7f
552,0x7e
553,0x7e
554,0x7d
555,0x7c
556,0x7c
557,0x7b
558,0x7b
559,0x7b
560,0x7a
561,0x78
562,0x77
563,0x76
564,0x76
