,0
0,0x77
1,0x67
2,0x66
3,0x62
4,0x62
5,0x65
6,0x67
7,0x69
8,0x67
9,0x67
10,0x66
11,0x67
12,0x66
13,0x65
14,0x66
15,0x65
16,0x66
17,0x67
18,0x6c
19,0x71
20,0x77
21,0x7a
22,0x7e
23,0x80
24,0x82
25,0x87
26,0x89
27,0x8c
28,0x8e
29,0x90
30,0x93
31,0x93
32,0x92
33,0x90
34,0x8c
35,0x87
36,0x85
37,0x82
38,0x80
39,0x7e
40,0x78
41,0x74
42,0x71
43,0x6f
44,0x6f
45,0x71
46,0x74
47,0x74
48,0x73
49,0x73
50,0x74
51,0x78
52,0x7d
53,0x81
54,0x85
55,0x89
56,0x8e
57,0x90
58,0x93
59,0x95
60,0x96
61,0x95
62,0x93
63,0x92
64,0x8f
65,0x8c
66,0x88
67,0x84
68,0x80
69,0x78
70,0x73
71,0x6d
72,0x65
73,0x60
74,0x5c
75,0x57
76,0x54
77,0x4f
78,0x4d
79,0x4b
80,0x4d
81,0x4e
82,0x52
83,0x58
84,0x5c
85,0x60
86,0x65
87,0x69
88,0x70
89,0x76
90,0x7d
91,0x84
92,0x88
93,0x8b
94,0x8c
95,0x8f
96,0x90
97,0x92
98,0x98
99,0x9c
100,0x9f
101,0x9d
102,0x9c
103,0x99
104,0x95
105,0x93
106,0x90
107,0x8e
108,0x8c
109,0x88
110,0x85
111,0x81
112,0x7e
113,0x7b
114,0x76
115,0x70
116,0x6f
117,0x6a
118,0x69
119,0x66
120,0x66
121,0x65
122,0x60
123,0x5f
124,0x5e
125,0x5c
126,0x5c
127,0x59
128,0x58
129,0x5b
130,0x5f
131,0x63
132,0x66
133,0x6a
134,0x6d
135,0x6f
136,0x70
137,0x74
138,0x7a
139,0x7e
140,0x81
141,0x85
142,0x85
143,0x85
144,0x87
145,0x88
146,0x88
147,0x89
148,0x89
149,0x88
150,0x85
151,0x87
152,0x85
153,0x84
154,0x82
155,0x81
156,0x82
157,0x82
158,0x84
159,0x82
160,0x82
161,0x81
162,0x82
163,0x82
164,0x85
165,0x87
166,0x87
167,0x84
168,0x84
169,0x82
170,0x82
171,0x82
172,0x80
173,0x7e
174,0x7d
175,0x7e
176,0x7b
177,0x7b
178,0x7a
179,0x77
180,0x74
181,0x73
182,0x71
183,0x70
184,0x70
185,0x71
186,0x73
187,0x74
188,0x73
189,0x74
190,0x73
191,0x74
192,0x74
193,0x76
194,0x76
195,0x77
196,0x77
197,0x77
198,0x74
199,0x70
200,0x6f
201,0x6c
202,0x6a
203,0x6a
204,0x6a
205,0x69
206,0x66
207,0x63
208,0x62
209,0x60
210,0x62
211,0x66
212,0x69
213,0x6d
214,0x71
215,0x74
216,0x78
217,0x7e
218,0x84
219,0x89
220,0x8f
221,0x92
222,0x95
223,0x98
224,0x9c
225,0x9d
226,0xa0
227,0x9f
228,0x9c
229,0x9a
230,0x96
231,0x95
232,0x92
233,0x8e
234,0x87
235,0x80
236,0x7b
237,0x74
238,0x6f
239,0x6a
240,0x66
241,0x63
242,0x5f
243,0x5e
244,0x5c
245,0x59
246,0x57
247,0x55
248,0x57
249,0x58
250,0x5b
251,0x5e
252,0x5f
253,0x63
254,0x65
255,0x67
256,0x6a
257,0x6f
258,0x70
259,0x71
260,0x73
261,0x74
262,0x77
263,0x7b
264,0x80
265,0x82
266,0x87
267,0x88
268,0x8b
269,0x8c
270,0x8e
271,0x8f
272,0x90
273,0x92
274,0x93
275,0x95
276,0x96
277,0x93
278,0x8f
279,0x8b
280,0x84
281,0x81
282,0x7e
283,0x7d
284,0x78
285,0x76
286,0x73
287,0x70
288,0x6d
289,0x6a
290,0x67
291,0x66
292,0x67
293,0x6c
294,0x6f
295,0x74
296,0x78
297,0x7b
298,0x7d
299,0x80
300,0x82
301,0x85
302,0x89
303,0x8e
304,0x8e
305,0x8f
306,0x8e
307,0x8b
308,0x87
309,0x81
310,0x7e
311,0x7b
312,0x77
313,0x71
314,0x6c
315,0x67
316,0x60
317,0x5b
318,0x55
319,0x54
320,0x51
321,0x4f
322,0x52
323,0x55
324,0x59
325,0x5c
326,0x60
327,0x63
328,0x67
329,0x6d
330,0x74
331,0x7e
332,0x84
333,0x88
334,0x8e
335,0x8f
336,0x90
337,0x92
338,0x95
339,0x99
340,0x9a
341,0x9d
342,0x9d
343,0x9a
344,0x95
345,0x8f
346,0x8c
347,0x89
348,0x88
349,0x82
350,0x80
351,0x7d
352,0x7a
353,0x76
354,0x71
355,0x6f
356,0x6c
357,0x69
358,0x66
359,0x66
360,0x66
361,0x65
362,0x63
363,0x60
364,0x5f
365,0x5e
366,0x5c
367,0x59
368,0x59
369,0x5b
370,0x5e
371,0x5f
372,0x65
373,0x66
374,0x65
375,0x66
376,0x6a
377,0x70
378,0x74
379,0x77
380,0x7d
381,0x7e
382,0x82
383,0x85
384,0x88
385,0x8c
386,0x8f
387,0x92
388,0x95
389,0x96
390,0x98
391,0x96
392,0x95
393,0x95
394,0x95
395,0x92
396,0x90
397,0x8c
398,0x89
399,0x85
400,0x81
401,0x7e
402,0x7d
403,0x7a
404,0x77
405,0x76
406,0x74
407,0x70
408,0x6d
409,0x6c
410,0x69
411,0x69
412,0x6a
413,0x6c
414,0x6c
415,0x6c
416,0x6c
417,0x6a
418,0x6a
419,0x6a
420,0x6a
421,0x6c
422,0x6f
423,0x70
424,0x73
425,0x74
426,0x76
427,0x76
428,0x76
429,0x74
430,0x77
431,0x7a
432,0x7d
433,0x7e
434,0x7e
435,0x7b
436,0x7b
437,0x7a
438,0x7a
439,0x7a
440,0x7a
441,0x7a
442,0x77
443,0x76
444,0x74
445,0x73
446,0x70
447,0x70
448,0x70
449,0x71
450,0x74
451,0x78
452,0x7a
453,0x7b
454,0x7a
455,0x7b
456,0x7b
457,0x7e
458,0x81
459,0x85
460,0x88
461,0x89
462,0x88
463,0x87
464,0x84
465,0x80
466,0x7e
467,0x7d
468,0x80
469,0x7e
470,0x7b
471,0x7a
472,0x74
473,0x70
